ID,class, sampleid, microid, x, y, z, numcal, vol, compK, elongK, compM, minD, maxD, rmean, rstd, b1mean, b1std, b2mean, b2std, b3mean, b3std, r1, r2, r3, r4, surf, surfovervol,Angular Second Moment,Contrast,Correlation,Sum of Squares: Variance,Inverse Difference Moment,Sum Average,Sum Variance,Sum Entropy,Entropy,Difference Variance,Difference Entropy,Information Measure of Correlation 1,Information Measure of Correlation 2,Maximal Correlation Coefficient,Variance,Skewness,Kurtosis,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,SZE,LZE,GLN2,ZSN,ZP,LGZE,HGZE,SZLGE,SZHGE,LZLGE,LZHGE,GLV2,ZSV,Coarseness,Contrast2,Busyness,Complexity,Strength
1_ 07b01604__ mc-45-4,1, 07b01604_, mc-45-4,182,1567,1138,16,331,0.001754,2.02881,0.00061,40.212725,81.583973,71.605803,9.150726,39.866198,11.000138,17.576213,8.181996,12.772183,5.635036,1.796153,2.26819,1.376132,5.606387,1823,0.430054,0.00348764,25.04226787,0.782845526,57.66540073,0.216852573,161.9592095,205.6193351,5.58733612,8.559679477,0.000922216,3.387326278,-0.181273568,0.899712362,2.614572679,105.4540983,1.147206999,0.761283245,0.909817583,1.483317738,0.025380939,0.790499626,0.876557813,0.012212664,923.5943008,0.010175289,873.8255083,0.025987928,1170.755604,0.003593139,9.60678E-06,0.562235892,1996.012387,0.015033059,0.298224573,0.185918424,0.006234275,1658.944855,0.002656191,986.7133012,14.40309773,384897.395,1.08015E-05,2.95018E-07,0.00058055,0.050104943,0.712803293,6655.45684,6.693342793
1_ 07b01604__ mc-45-6,1, 07b01604_, mc-45-6,122,1568,1144,16,2006,0.004634,1.748625,0.002384,53.991682,94.411228,74.345048,13.328131,40.228639,12.367051,16.100327,9.492985,11.171816,6.559723,1.848063,2.498622,1.441156,6.654697,2287,0.384564,0.00175729,47.42100632,0.8547627,162.3404408,0.174513928,174.7850136,601.940757,6.3220595,9.644884513,0.000604062,3.818101672,-0.216389479,0.947531393,3.147579148,148.4297993,0.949690448,-0.043255969,0.888414402,1.696104798,0.031629959,0.748256665,0.843546,0.029934552,735.5851842,0.021703012,691.3874446,0.161807686,961.1284434,0.000916769,3.96806E-06,0.569766778,12330.33055,0.013826106,0.305294885,0.131740789,0.01275752,1760.118811,0.0063622,1080.051206,96.79793916,2238370.099,3.12401E-06,5.08498E-07,0.000293865,0.034978136,1.278699491,9358.923476,7.351203541
1_ 07b01604__ mc-45-9,1, 07b01604_, mc-45-9,198,1490,1162,16,618,0.002255,2.706496,0.000709,35.302644,95.546468,72.92714,10.989702,38.40385,11.677695,16.284766,8.146901,12.776167,5.305208,1.898954,2.358268,1.274621,5.708061,761,0.462052,0.002499989,52.49172296,0.712566746,90.67856828,0.160058831,169.7845306,310.2225501,5.909013515,8.906564276,0.000647529,3.845134212,-0.236438978,0.951874438,1.992176499,171.7831599,0.707168903,-0.604454527,0.879537187,1.676825046,0.046131208,0.730819275,0.838271678,0.015882822,590.1148321,0.013152852,555.3177021,0.032848193,770.1410186,0.00245752,1.49579E-05,0.588363336,10866.62468,0.014431629,0.324490581,0.122282793,0.008077594,1675.008324,0.003834878,1089.297609,89.15542602,1557681.42,5.59552E-06,2.03904E-06,0.000590859,0.03497912,0.798997094,6841.810301,13.27284524
1_ 07b01604__ mc-46-10,1, 07b01604_, mc-46-10,172,1553,1167,16,139,0.00038,2.223549,0.000133,45.61957,101.437367,70.955542,8.371941,38.292519,11.768425,16.879953,7.990447,12.704236,5.489675,1.852987,2.26852,1.328687,5.585188,1590,0.484166,0.004172647,28.2047625,0.70559266,47.87461679,0.2221406,159.6073435,163.2937047,5.371155871,8.326959427,0.000881121,3.483963946,-0.167634618,0.881130447,2.29267593,81.37064767,1.501401035,2.464953016,0.877642502,1.690252235,0.043244419,0.72722316,0.836019122,0.017936319,429.625841,0.014505683,397.9357512,0.047166967,595.4227131,0.001333516,8.01094E-06,0.549521513,53394.88086,0.017964344,0.284915827,0.093590858,0.011292147,1157.495493,0.005174812,689.8612054,451.694994,7441155.184,1.04084E-06,8.50997E-07,0.000139383,0.020368717,3.082980936,7374.015646,3.312011564
1_ 07b01604__ mc-46-11,1, 07b01604_, mc-46-11,104,1548,1172,16,568,0.00429,3.456357,0.000683,27.207384,94.038423,74.708768,13.670922,41.366457,12.019072,18.562616,11.21957,11.236417,8.314787,1.806023,2.228482,1.652005,6.648807,1995,0.365184,0.001702128,48.75823672,0.853629743,165.8251482,0.17241175,175.8229517,614.542356,6.354716234,9.673010245,0.000596553,3.832607518,-0.220747758,0.950504501,3.146611372,154.1155557,0.86910511,-0.232471991,0.90466316,1.620264777,0.019600455,0.780834522,0.86142321,0.029505105,1272.979872,0.019461454,1207.835837,0.193919065,1594.868419,0.001537664,3.17163E-06,0.580508042,1338.128698,0.012156204,0.316023346,0.199202405,0.008770848,2280.256213,0.004918677,1398.750816,25.98645108,258414.1167,2.25282E-05,4.49189E-07,0.00105172,0.063501269,0.362550881,8554.054314,14.34428228
1_ 07b01604__ mc-46-12,1, 07b01604_, mc-46-12,149,1526,1173,16,218,0.000875,2.548777,0.000262,36.902179,94.055419,68.224924,5.815428,38.421373,11.727139,16.920099,8.354348,12.245021,5.702143,1.775702,2.270753,1.381794,5.571646,944,0.57386,0.008860218,15.68204759,0.488105751,15.29694627,0.273714431,152.9824933,45.50573748,4.598436667,7.097703346,0.001407038,3.07840401,-0.140517655,0.808406074,1.73066498,131.6372203,0.97478291,0.281340709,0.88023682,1.777585154,0.040884886,0.732555394,0.832249543,0.029465818,443.5733824,0.020556963,412.8213118,0.197374838,603.0436912,0.00097321,5.55898E-06,0.556311407,18896.53995,0.017813959,0.291648359,0.113444432,0.01500464,1084.770323,0.006754611,635.7357564,150.0060955,2885301.506,2.56278E-06,1.28701E-06,0.000313057,0.034459996,1.953165991,4539.12521,3.405276475
1_ 07b01604__ mc-46-13,1, 07b01604_, mc-46-13,117,1543,1172,16,35,0.000126,2.403881,0.000042,39.159133,94.133914,74.683059,13.774818,41.615415,11.575367,18.815404,10.844808,11.601457,7.576001,1.794601,2.211774,1.621814,6.437386,2182,0.408003,0.001717806,48.33050932,0.859893009,171.3300425,0.178390118,176.5952634,636.9896607,6.375823292,9.665692353,0.000600171,3.832234885,-0.228208505,0.955373952,3.185151766,157.0043586,0.836206087,-0.312406228,0.888614098,1.721955701,0.030790787,0.748644608,0.842667286,0.028399768,791.3301289,0.020573095,743.266019,0.185736692,1034.495879,0.000895179,3.85095E-06,0.562075243,12646.12713,0.013535777,0.297189447,0.134485631,0.012473401,1795.070698,0.005915173,1082.218429,112.9908557,1957940.82,3.57245E-06,6.49146E-07,0.000340551,0.038197987,1.116308761,9228.02667,8.177033048
1_ 07b01604__ mc-46-15,1, 07b01604_, mc-46-15,207,1532,1191,16,715,0.006166,3.829678,0.001148,22.300595,85.404109,74.647292,11.436935,35.631478,12.29907,15.114058,7.627364,12.092853,5.077593,2.094982,2.357506,1.249834,6.172844,655,0.432629,0.002406193,50.9940418,0.719091373,90.09459021,0.155459935,170.3585793,309.384319,5.941154174,8.963955646,0.000639882,3.821640206,-0.231461081,0.949961146,2.152500455,156.5217957,0.683348801,-0.559370022,0.878450644,1.682629155,0.044361798,0.728739858,0.837154453,0.02179674,532.0578751,0.017050232,499.2703318,0.05703451,699.3999991,0.00173696,1.09146E-05,0.579949587,10800.43402,0.01549698,0.315760059,0.110279969,0.008403231,1652.449509,0.003409221,1073.620743,97.19257833,1496296.892,6.16586E-06,2.92103E-06,0.000670394,0.030906853,0.701067693,7146.474334,15.68233273
1_ 07b02324__ mc-18-1,1, 07b02324_, mc-18-1,173,846,502,69,21,0.00042,2.985264,0.000081,21.321688,63.650878,79.474831,16.127031,40.063227,10.904948,24.228188,9.740642,15.936748,6.075855,1.983735,1.653579,1.520272,4.986891,749,0.562735,0.001891263,76.08126267,0.743370063,150.4882906,0.135043108,182.8610517,525.8718997,6.334034139,9.27285732,0.000521136,4.034818064,-0.314114238,0.98357024,2.419165955,142.3348961,0.437952378,-0.681539549,0.912311928,1.448720553,0.027471826,0.795220868,0.882197215,0.002816638,1082.876675,0.002512188,1023.551049,0.004400878,1370.147066,0.004929892,1.05125E-05,0.567915464,1250.252201,0.015534405,0.303165938,0.186592819,0.001881602,2015.336745,0.0009446,1285.677533,5.624014594,340437.8596,2.37944E-05,9.61576E-07,0.001317749,0.045819097,0.207734091,10177.98136,22.82726693
1_ 07b02324__ mc-18-2,1, 07b02324_, mc-18-2,174,897,565,69,11,0.000056,2.305458,0.000013,40.98989,94.500467,107.926425,38.439528,39.753684,12.16155,16.540893,9.503093,10.46424,7.428243,2.714879,2.403358,1.580707,10.313833,6165,0.207499,0.000370187,88.43350179,0.96345344,1217.835764,0.13184755,241.4055986,4782.909553,7.899191092,11.76394269,0.000286788,4.134589974,-0.302056164,0.990212218,4.932705504,145.6227964,0.575423851,-0.718491355,0.921377338,1.425158703,0.014640964,0.81486189,0.890308838,0.010978727,3795.10509,0.007694199,3652.938141,0.041483226,4481.844113,0.001644072,1.98155E-06,0.6319369,981.3085097,0.007219521,0.371750035,0.259591792,0.003091558,6742.982421,0.001563634,4573.177746,6.685628892,284915.7594,2.04529E-05,6.17199E-08,0.000490254,0.083465137,0.35891973,32885.33902,31.2672618
1_ 07b02324__ mc-19-1,1, 07b02324_, mc-19-1,194,917,526,69,112099,0.073192,2.102873,0.024911,78.509452,165.095438,115.735906,41.694085,37.598801,12.761128,18.087804,9.588077,13.340479,7.48344,3.078181,2.078682,1.355859,8.675544,18326,0.139709,0.000241195,112.8297574,0.961607169,1471.628628,0.121540307,254.6764381,5773.684755,8.070453269,12.32883665,0.000219319,4.429572356,-0.262639869,0.986221014,5.659029282,145.334159,0.555546684,-0.682391272,0.899960877,1.616764328,0.026424276,0.770722326,0.859944568,0.013744311,2730.238415,0.010290945,2623.088334,0.112749842,3249.641371,0.000726427,2.21746E-06,0.639797915,34024.96367,0.00732806,0.380071634,0.184847247,0.006053135,6795.912409,0.003187068,4746.378805,207.0758069,6412463.04,9.04743E-07,1.80106E-08,4.09893E-05,0.060185893,4.335459581,40772.22325,6.074714703
1_ 07b02324__ mc-19-3,1, 07b02324_, mc-19-3,163,885,568,69,137,0.000659,2.091603,0.000184,43.353168,90.67762,103.689208,36.20898,39.566762,12.279586,15.496943,9.411736,9.127202,7.046242,2.620614,2.553198,1.697886,11.36046,5681,0.22532,0.000416036,83.48381665,0.961192928,1082.164097,0.135266683,234.3308386,4245.172572,7.803065437,11.61316427,0.000293705,4.103726051,-0.300518695,0.989595077,4.800812864,131.3473287,0.601751825,-0.649830687,0.926496444,1.381515999,0.01527537,0.825438086,0.898622973,0.007382262,3513.447361,0.006811135,3382.018066,0.010364083,4144.761753,0.003963901,5.15351E-06,0.625635162,1158.488379,0.00770484,0.3648859,0.267183542,0.003319532,6025.792049,0.001697407,4074.099032,7.755849762,268252.8013,1.34254E-05,5.59466E-08,0.00053982,0.079896099,0.311314431,33227.16461,33.78712488
1_ 07b02324__ mc-23-1,1, 07b02324_, mc-23-1,159,923,982,69,15299,0.12864,2.352768,0.031412,33.440661,78.678119,90.371119,22.880122,36.407929,13.96417,14.278637,9.132799,9.666627,6.897598,2.482182,2.549818,1.477106,9.348775,3986,0.20253,0.000653754,74.88271378,0.912910929,429.2393719,0.146481616,199.7518877,1642.074774,7.12189833,10.99861325,0.000388311,4.1167637,-0.219646764,0.960384576,4.574307556,132.115375,0.817655826,-0.207884729,0.939485599,1.305504436,0.010598409,0.853695565,0.916226842,0.00572147,3509.538011,0.004467383,3386.305562,0.011423232,4093.16353,0.007250756,4.14281E-06,0.65636089,203.1268418,0.008806644,0.399686657,0.358344731,0.002332656,4709.640644,0.001382481,3215.622329,1.182922976,90193.62538,6.45175E-05,6.97424E-08,0.001151342,0.121832717,0.211836875,16876.89464,17.38028092
1_ 07b02324__ mc-46-1,1, 07b02324_, mc-46-1,194,1767,321,69,116,0.000215,1.321387,0.00013,72.818296,96.221147,128.80659,47.790634,38.371265,12.830394,17.349017,9.327571,12.227324,6.533635,3.35685,2.211726,1.418873,10.534324,12708,0.196126,0.000410052,92.34235517,0.974255552,1802.66762,0.161228529,283.2429061,7118.328124,8.007814041,11.874871,0.0002857,4.259767834,-0.310983012,0.992797794,5.362951033,231.5878194,-0.059357413,-1.498444854,0.932622139,1.357041925,0.009888549,0.838771707,0.905794576,0.014083923,6925.501812,0.011141237,6564.880602,0.045736102,8668.381701,0.005042847,2.35663E-06,0.666523394,1062.129743,0.006420707,0.411550701,0.324304925,0.004279232,8331.756387,0.002155234,5695.027321,20.00342267,475888.9135,1.36258E-05,2.00954E-08,0.000423957,0.190990972,0.363387281,30897.51787,16.41667064
1_ 07b02324__ mc-46-2,1, 07b02324_, mc-46-2,226,1860,323,69,138,0.000302,1.528692,0.000179,59.926778,91.60957,116.283633,34.146894,38.342969,12.128222,18.884348,7.700141,15.857851,5.805416,3.032724,2.03041,1.190852,7.332875,10667,0.162409,0.000361933,75.5858066,0.957315163,888.2485947,0.146837976,250.0835286,3477.408572,7.758038186,11.68784981,0.000323549,4.159205612,-0.276460594,0.986578662,5.08627548,167.2685897,0.025566967,-1.155954763,0.937689746,1.313501433,0.010198861,0.849691292,0.914043255,0.004451805,6196.031904,0.003680242,5934.148311,0.00986372,7440.127458,0.006751065,2.87591E-06,0.654626607,649.8145688,0.006536365,0.397728769,0.334713721,0.001507458,8010.863227,0.000705884,5343.965867,2.874100376,316970.3662,2.29584E-05,1.9993E-08,0.000454659,0.179461795,0.44854115,21730.97035,11.0031525
1_ 07b02324__ mc-46-3,1, 07b02324_, mc-46-3,308,1778,328,69,347,0.000537,2.165251,0.000203,55.233457,119.594304,141.170491,46.147246,38.353866,12.602083,19.094307,9.08619,15.211437,8.002807,3.680737,2.008655,1.25526,9.280549,14876,0.150241,0.00047463,90.6130552,0.971885801,1626.101132,0.168043883,301.2731658,6413.791473,8.011744308,11.83783223,0.000292269,4.228018426,-0.316303859,0.99302065,5.512699959,195.5463848,-0.316385494,-1.253535861,0.938544178,1.418012586,0.007626791,0.852093674,0.908123184,0.005827957,10820.47366,0.003476569,10222.51509,0.129287911,13736.6353,0.005537856,9.43533E-07,0.673108185,272.3524665,0.005468984,0.419658871,0.356653535,0.002369758,11122.07399,0.001350698,7440.508032,0.88121037,1428482.888,4.4086E-05,1.53012E-08,0.000482399,0.242463372,0.170075729,28250.84124,14.00935551
1_ 07b02324__ mc-46-4,1, 07b02324_, mc-46-4,179,1788,328,69,27,0.000072,1.661522,0.000033,56.122471,93.248742,95.484851,30.598381,39.55916,12.06335,18.637848,8.67771,13.912375,6.934291,2.413723,2.122518,1.33966,6.863303,8788,0.307112,0.000465149,125.4014468,0.921965637,813.3090925,0.115380598,212.9997976,3127.834923,7.483670286,11.62023055,0.000242464,4.457439608,-0.220762563,0.966002833,5.084841989,127.2627724,1.022584766,0.171542269,0.935801445,1.323905333,0.012673219,0.84554162,0.911506728,0.004690231,3378.195592,0.004091256,3273.795017,0.008308802,3871.202277,0.005069112,4.37579E-06,0.661420283,665.124385,0.00808609,0.405643329,0.326072584,0.002142048,5641.576561,0.001121019,4140.588396,3.562309656,187907.4099,3.06289E-05,5.45675E-08,0.00057121,0.08802097,0.277647561,30012.84933,20.26444421
1_ 07b02324__ mc-46-5,1, 07b02324_, mc-46-5,251,1894,352,69,356,0.00089,1.717037,0.000417,55.26162,94.886245,102.962674,32.258343,38.372311,12.516616,18.172988,8.523863,14.985385,5.709197,2.683254,2.111503,1.212714,6.870873,8501,0.244647,0.000423237,82.43403612,0.947455576,787.3121734,0.141175794,231.2619047,3066.814658,7.561710849,11.50830029,0.000322075,4.219915328,-0.254645655,0.980388063,4.954675585,173.9801879,0.189190111,-1.296546768,0.92991466,1.413752207,0.015121011,0.833161673,0.8991862,0.010412847,3167.415101,0.007272158,3039.88597,0.08324408,3775.385884,0.002190349,2.5227E-06,0.629349633,1284.096231,0.008837608,0.368492872,0.292833393,0.004258092,4867.17326,0.002020133,3278.259189,6.188225457,353152.0733,9.5154E-06,3.15973E-08,0.000352284,0.098109138,0.610066508,21839.85954,11.99240502
1_ 07b02324__ mc-46-6,1, 07b02324_, mc-46-6,254,1797,362,69,200,0.000159,1.179837,0.000123,99.591616,117.501833,143.81801,47.701748,40.421643,12.082774,21.62998,10.676821,14.999172,8.92209,3.557946,1.868779,1.442078,9.588396,24565,0.148905,0.000588782,65.68038793,0.981197528,1753.300427,0.192825331,306.2247485,6947.52132,7.972261134,11.62736301,0.000339328,4.028769713,-0.336268796,0.994913497,5.427581464,208.3487946,-0.407408743,-1.281323512,0.936150499,1.362897023,0.00661708,0.846753001,0.908311236,0.009467113,11513.24105,0.006521723,10790.1863,0.06618191,15069.00103,0.00923341,1.16646E-06,0.655213024,370.4812805,0.005494837,0.398092302,0.33005005,0.003076997,11071.08352,0.001581513,7232.793328,3.571913263,1826388.985,4.13878E-05,1.51325E-08,0.00036764,0.231637493,0.193696934,26462.19182,9.744810917
